,Address,Size,Bedrooms,Bathrooms,Garage,Floor,Pet_Friendly,Furniture,Subway,Condominio,Tax,Rent
0,"Rua Ministro Nélson Hungria, Real Parque, São Paulo",50,1,1,1,5,Aceita pet,Mobiliado,Não próx.,800,142,2200
1,"Rua Ministro Nélson Hungria, Real Parque, São Paulo",53,1,1,1,7,Aceita pet,Mobiliado,Não próx.,940,14,2200
2,"Rua Ministro Nelson Hungria, Real Parque, São Paulo",50,1,1,1,5,Não aceita,Mobiliado,Não próx.,682,111,1810
3,"Rua César Vallejo, Real Parque, São Paulo",43,1,1,1,9,Aceita pet,Sem mobília,Metrô próx.,0,0,2630
4,"Avenida Barão de Campos Gerais, Morumbi, São Paulo",108,2,3,1,7,Aceita pet,Sem mobília,Metrô próx.,1200,476,1931
5,"Rua Ministro Nélson Hungria, Real Parque, São Paulo",43,1,1,1,7,Não aceita,Mobiliado,Não próx.,850,106,2300
6,"Rua César Vallejo, Real Parque, São Paulo",35,1,1,1,7,Aceita pet,Sem mobília,Metrô próx.,430,0,2100
7,"Rua Viena, Sacomã, São Paulo",50,2,1,1,15,Aceita pet,Sem mobília,Não próx.,350,0,2300
8,"Rua Alencar Araripe, Sacomã, São Paulo",49,2,1,1,1,Aceita pet,Sem mobília,Não próx.,440,10,1490
9,"Rua Viena, Sacomã, São Paulo",50,2,1,1,3,Não aceita,Sem mobília,Não próx.,450,0,1640
10,"Rua Marquês de Maricá, Sacomã, São Paulo",50,2,1,1,1,Aceita pet,Sem mobília,Não próx.,437,100,1700
11,"Rua Salvador Pedroso, Sacomã, São Paulo",60,2,1,1,22,Aceita pet,Sem mobília,Não próx.,400,105,2100
12,"Rua São Vicente de Paulo, Santa Cecília, São Paulo",50,1,2,1,10,Aceita pet,Sem mobília,Metrô próx.,800,100,2430
13,"Rua Baronesa de Itu, Santa Cecília, São Paulo",61,1,2,1,13,Aceita pet,Sem mobília,Metrô próx.,680,140,4000
14,"Rua Dona Veridiana, Santa Cecília, São Paulo",60,2,2,1,41,Aceita pet,Sem mobília,Metrô próx.,600,300,2408
15,"Rua Tupi, Santa Cecília, São Paulo",40,1,2,1,1,Não aceita,Mobiliado,Metrô próx.,706,95,2681
16,"Alameda Barros, Santa Cecília, São Paulo",45,2,1,1,1,Aceita pet,Mobiliado,Metrô próx.,397,73,2472
17,"Rua Marquês de Itu, Higienopólis, São Paulo",55,1,1,1,5,Aceita pet,Mobiliado,Metrô próx.,700,30,1970
18,"Rua Palmeiras, Santa Cecília, São Paulo",42,1,1,1,7,Aceita pet,Sem mobília,Metrô próx.,472,115,2300
19,"Rua Martim Francisco, Santa Cecília, São Paulo",50,2,2,1,2,Aceita pet,Sem mobília,Metrô próx.,850,227,2850
20,"Rua Tupi, Santa Cecília, São Paulo",49,2,1,1,11,Não aceita,Sem mobília,Metrô próx.,650,148,1900
21,"Rua Benvinda Aparecida de Abreu Leme, Santana, São Paulo",62,2,2,2,12,Não aceita,Sem mobília,Metrô próx.,850,92,2700
22,"Rua Voluntários da Pátria, Santana, São Paulo",42,1,1,2,6,Aceita pet,Sem mobília,Não próx.,620,0,2300
23,"Rua Copacabana, Santana, São Paulo",110,3,3,2,2,Aceita pet,Mobiliado,Não próx.,1000,192,3800
24,"Rua Comendador Joaquim Monteiro, Santana, São Paulo",52,2,1,1,8,Aceita pet,Mobiliado,Metrô próx.,600,84,2123
25,"Rua Duarte de Azevedo, Santana, São Paulo",44,1,1,1,0,Aceita pet,Mobiliado,Metrô próx.,600,109,1999
26,"Rua Duarte de Azevedo, Santana, São Paulo",45,1,1,1,1,Não aceita,Mobiliado,Metrô próx.,450,0,2149
27,"Rua Carlos Escobar, Santana, São Paulo",42,1,1,1,7,Não aceita,Sem mobília,Não próx.,570,84,2000
28,"Rua Duarte de Azevedo, Santana, São Paulo",44,1,1,1,6,Não aceita,Sem mobília,Metrô próx.,595,123,2000
29,"Rua Conde de Itu, Santo Amaro , São Paulo",49,1,1,1,7,Não aceita,Mobiliado,Metrô próx.,447,0,2800
30,"Rua Conde de Itu, Santo Amaro , São Paulo",45,1,1,1,10,Aceita pet,Mobiliado,Metrô próx.,511,90,2780
31,"Rua Conde de Itu, Santo Amaro, São Paulo",53,1,1,1,3,Aceita pet,Mobiliado,Metrô próx.,500,11,3200
32,"Avenida Adolfo Pinheiro, Santo Amaro , São Paulo",94,3,2,2,20,Não aceita,Sem mobília,Metrô próx.,965,241,3600
33,"Rua Doutor Antônio Bento, Santo Amaro , São Paulo",100,2,2,2,8,Aceita pet,Sem mobília,Metrô próx.,690,297,4500
