,Address,Street,Neighborhood,City,Latitude,Longitude
0,"Rua Ministro Nélson Hungria, Real Parque, São Paulo",Rua Ministro Nelson Hungria, Carapicuíba, São Paulo,-23.5722228,-46.8254858
1,"Rua Ministro Nélson Hungria, Real Parque, São Paulo","Rua Ministro Nélson Hungria, Real Parque, São Paulo",Error time out,Error time out,Error time out,Error time out
2,"Rua Ministro Nelson Hungria, Real Parque, São Paulo",Rua Ministro Nelson Hungria, Carapicuíba, São Paulo,-23.5722228,-46.8254858
3,"Rua César Vallejo, Real Parque, São Paulo",Rua César Vallejo, Morumbi, São Paulo,-23.6067336,-46.7018308
4,"Avenida Barão de Campos Gerais, Morumbi, São Paulo",Avenida Barão de Campos Gerais, Morumbi, São Paulo,-23.6062686,-46.7045358
7,"Rua Viena, Sacomã, São Paulo",Rua Viena, Sacomã, São Paulo,-23.61332,-46.5996137
8,"Rua Alencar Araripe, Sacomã, São Paulo",Rua Alencar Araripe, Sacomã, São Paulo,-23.6138632,-46.5970802
10,"Rua Marquês de Maricá, Sacomã, São Paulo",Rua Marques de Marica, Sacomã, São Paulo,-23.6139964,-46.5982073
11,"Rua Salvador Pedroso, Sacomã, São Paulo",Rua Salvador Pedroso, Sacomã, São Paulo,-23.6180127,-46.5976086
12,"Rua São Vicente de Paulo, Santa Cecília, São Paulo",Rua São Vicente de Paulo, Santa Cecília, São Paulo,-23.5394517,-46.656703
13,"Rua Baronesa de Itu, Santa Cecília, São Paulo",Rua Baronesa de Itu, Santa Cecília, São Paulo,-23.5391932,-46.6580478
14,"Rua Dona Veridiana, Santa Cecília, São Paulo",Rua Dona Veridiana, Santa Cecília, São Paulo,-23.5419922,-46.6510318
15,"Rua Tupi, Santa Cecília, São Paulo",Rua Tupi, Consolação, São Paulo,-23.5400123,-46.6635041
16,"Alameda Barros, Santa Cecília, São Paulo",Alameda Barros, Santa Cecília, São Paulo,-23.5355801,-46.6584882
17,"Rua Marquês de Itu, Higienopólis, São Paulo",Rua Marquês de Itu, Consolação, São Paulo,-23.5437132,-46.6517102
18,"Rua Palmeiras, Santa Cecília, São Paulo",Rua das Palmeiras, Santa Cecília, São Paulo,-23.5375783,-46.6509087
19,"Rua Martim Francisco, Santa Cecília, São Paulo",Rua Martim Francisco, Santa Cecília, São Paulo,-23.5377227,-46.6508727
21,"Rua Benvinda Aparecida de Abreu Leme, Santana, São Paulo",Rua Benvinda Aparecida de Abreu Leme, Santana, São Paulo,-23.499055,-46.6234565
22,"Rua Voluntários da Pátria, Santana, São Paulo",Rua Voluntários da Pátria, Santana, São Paulo,-23.4921214,-46.625976
23,"Rua Copacabana, Santana, São Paulo",Rua Copacabana, Santana, São Paulo,-23.4935428,-46.6383657
24,"Rua Comendador Joaquim Monteiro, Santana, São Paulo",Rua Comendador Joaquim Monteiro, Santana, São Paulo,-23.5038438,-46.6307492
25,"Rua Duarte de Azevedo, Santana, São Paulo",Rua Duarte de Azevedo, Santana, São Paulo,-23.5010178,-46.6211224
27,"Rua Carlos Escobar, Santana, São Paulo",Rua Carlos Escobar, Santana, São Paulo,-23.5016591,-46.6349952
29,"Rua Conde de Itu, Santo Amaro , São Paulo",Rua Conde de Itu, Santo Amaro, São Paulo,-23.6514347,-46.6971318
31,"Rua Conde de Itu, Santo Amaro, São Paulo",Rua Conde de Itu, Santo Amaro, São Paulo,-23.6514347,-46.6971318
32,"Avenida Adolfo Pinheiro, Santo Amaro , São Paulo",Avenida Adolfo Pinheiro, Santo Amaro, São Paulo,-23.6471296,-46.7020645
33,"Rua Doutor Antônio Bento, Santo Amaro , São Paulo",Rua Doutor Antônio Bento, Santo Amaro, São Paulo,-23.6479087,-46.7039581
34,"Avenida Nossa Senhora do Sabará, Jardim Marajoara , São Paulo",Avenida Nossa Senhora do Sabará, Campo Grande, São Paulo,-23.6629818,-46.6921796
35,"Rua Borba Gato, Santo Amaro , São Paulo",Rua Borba Gato, Santo Amaro, São Paulo,-23.655843,-46.7009549
36,"Praça Santa Cruz, Santo Amaro , São Paulo",Praça Santa Cruz,Praça Santa Cruz, Santo Amaro,-23.648339399999998,-46.70264662960753
37,"Rua José de Alencar, Jardim Marajoara , São Paulo",Rua José de Alencar, Campo Grande, São Paulo,-23.658555,-46.696656
38,"Rua Caramuru, Saúde, São Paulo",Rua Caramuru, Saúde, São Paulo,-23.6090831,-46.6370477
40,"Rua Dias de Toledo, Saúde, São Paulo",Rua Dias de Toledo, Saúde, São Paulo,-23.6145261,-46.6348774
41,"Rua Uvaias, Saúde, São Paulo",Rua das Uváias, Saúde, São Paulo,-23.6214992,-46.6409903
42,"Rua General Chagas Santos, Saúde, São Paulo",Rua General Chagas Santos, Saúde, São Paulo,-23.6160495,-46.6275282
44,"Rua Araçoiaba, Saúde, São Paulo",Rua Araçoiaba, Saúde, São Paulo,-23.6204272,-46.6323576
46,"Avenida Bosque da Saúde, Saúde, São Paulo",Avenida Bosque da Saúde, Saúde, São Paulo,-23.6122011,-46.6288507
47,"Rua Visconde de Inhaúma, Saúde, São Paulo",Rua Visconde de Inhaúma, Saúde, São Paulo,-23.6169762,-46.6325449
48,"Praça Hilário da Conceição, Sítio do Mandaqui, São Paulo","Praça Hilário da Conceição, Sítio do Mandaqui, São Paulo",Error,Error,-999,-999
49,"Rua Domiciano Ribeiro, Limão, São Paulo",Rua Domiciano Ribeiro, Limão, São Paulo,-23.4850317,-46.6692916
50,"Rua Epaminondas Melo do Amaral, Sítio do Mandaqui, São Paulo","Rua Epaminondas Melo do Amaral, Sítio do Mandaqui, São Paulo",Error,Error,-999,-999
51,"Rua José de Figueiredo Seixas, Imirim, São Paulo",Rua José de Figueiredo Seixas, Cachoeirinha, São Paulo,-23.4805537,-46.6573321
52,"Rua Santa Faustina, Jardim São Bento, Casa Verde, São Paulo",Rua Santa Faustina, Casa Verde, São Paulo,-23.4856928,-46.654875
53,"Rua Ventura Carneiro, Vila Amélia, Cachoeirinha, São Paulo",Rua Ventura Carneiro, Cachoeirinha, São Paulo,-23.4813908,-46.6584903
55,"Praça Barão Itaqui, Tatuapé, São Paulo",Praça Barão de Itaqui, Vila Gomes Cardim, Tatuapé,-23.54036675,-46.568056850000005
56,"Rua Tuiuti, Tatuapé, São Paulo",Rua Tuiuti, Tatuapé, São Paulo,-23.5306717,-46.5756789
57,"Rua José Tavares Siqueira, Tatuapé, São Paulo",Rua José Tavares Siqueira, Tatuapé, São Paulo,-23.5311011,-46.5686071
58,"Rua Henrique Sertório, Tatuapé, São Paulo",Rua Henrique Sertório, Tatuapé, São Paulo,-23.5382527,-46.5781585
59,"Rua Coronel Gustavo Santiago, Tatuapé, São Paulo",Rua Coronel Gustavo Santiago, Tatuapé, São Paulo,-23.5349025,-46.5652685
61,"Avenida Celso Garcia, Tatuapé, São Paulo",Avenida Celso Garcia, Tatuapé, São Paulo,-23.5358333,-46.5713235
63,"Rua Teixeira de Melo, Tatuapé, São Paulo",Rua Teixeira de Melo, Tatuapé, São Paulo,-23.5377289,-46.5736704
64,"Rua Santa Catarina, Tatuapé, São Paulo",Rua Santa Catarina, Tatuapé, São Paulo,-23.5298714,-46.5667717
65,"Rua Celso Ramos, Campo Limpo, São Paulo",Rua Celso Ramos, Campo Limpo, São Paulo,-23.6272287,-46.7467755
