,Address,Latitude,Longitude,Entertainment,College_University,Event,Food,NightLife,Recreation,Professional_OtherPlaces,Residence,Shop_Service,Travel_Transport
0,"Rua Ministro Nélson Hungria, Real Parque, São Paulo",-23.5722228,-46.8254858,3,4,0,9,6,4,6,3,5,2
1,"Rua Ministro Nelson Hungria, Real Parque, São Paulo",-23.5722228,-46.8254858,3,4,0,9,6,4,6,3,5,2
2,"Rua César Vallejo, Real Parque, São Paulo",-23.6067336,-46.7018308,8,29,9,89,20,41,80,17,79,34
3,"Avenida Barão de Campos Gerais, Morumbi, São Paulo",-23.6062686,-46.7045358,7,19,7,86,11,29,63,9,44,17
4,"Rua Viena, Sacomã, São Paulo",-23.61332,-46.5996137,4,11,1,53,13,17,45,12,52,4
5,"Rua Alencar Araripe, Sacomã, São Paulo",-23.6138632,-46.5970802,2,6,0,50,11,9,43,9,36,3
6,"Rua Marquês de Maricá, Sacomã, São Paulo",-23.6139964,-46.5982073,3,6,0,52,12,13,40,12,43,4
7,"Rua Salvador Pedroso, Sacomã, São Paulo",-23.6180127,-46.5976086,2,12,1,61,11,16,44,14,50,3
8,"Rua São Vicente de Paulo, Santa Cecília, São Paulo",-23.5394517,-46.656703,28,61,0,203,66,66,97,30,111,32
9,"Rua Baronesa de Itu, Santa Cecília, São Paulo",-23.5391932,-46.6580478,26,57,4,167,53,63,96,29,115,31
10,"Rua Dona Veridiana, Santa Cecília, São Paulo",-23.5419922,-46.6510318,48,69,4,174,92,80,80,35,117,76
11,"Rua Tupi, Santa Cecília, São Paulo",-23.5400123,-46.6635041,22,57,9,159,26,55,86,16,101,21
12,"Alameda Barros, Santa Cecília, São Paulo",-23.5355801,-46.6584882,32,31,4,175,61,66,90,29,105,29
13,"Rua Marquês de Itu, Higienopólis, São Paulo",-23.5437132,-46.6517102,52,64,4,151,101,75,93,41,114,83
14,"Rua Palmeiras, Santa Cecília, São Paulo",-23.5375783,-46.6509087,33,45,1,205,81,70,83,29,108,63
15,"Rua Martim Francisco, Santa Cecília, São Paulo",-23.5377227,-46.6508727,34,48,1,204,84,72,83,29,107,63
